ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
18245	Lastropsweg o.Nr.	53.578328	9.955238	20255
18398	Schanzenstraße o.Nr.	53.563659	9.965434	20357
18401	Högenstraße o.Nr.	53.581786	9.9389	22527
18401	Högenstraße o.Nr. südlich von Nr. 60	53.581786	9.9389	22527
18406	Högenstraße o.Nr.	53.581191	9.938769	22525
18432	Högenstraße o.Nr.	53.581255	9.938758	22525
18432	Högenstraße o.Nr. auf der Straßenmitte vor Nr. 54b	53.581255	9.938758	22525
18433	Högenstraße o.Nr.	53.58111	9.938776	22527
18434	Högenstraße o.Nr.	53.580822	9.938749	22527
18434	Högenstraße o.Nr. westlich von Nr. 50	53.580822	9.938749	22527
18435	Högenstraße o.Nr.	53.580813	9.938763	22527
18435	Högenstraße o.Nr. westlich von Nr. 50	53.580813	9.938763	22527
18440	Högenstraße o.Nr.	53.581554	9.938664	22527
18658		53.569434	9.992223	20148
18780	Oberstraße o.Nr. vor der ehem. Synagoge Oberstraße (heute Sendesaal des NDR)	53.577602	9.991174	20149
19391	Kollaustraße o.Nr.	53.615884	9.950002	22453
19404	Elbgaustraße o.Nr.	53.607746	9.881226	22523
19526	Grindelhof 89	53.571802	9.983389	20146
19542	Strecke der U-Bahnlinie U1	53.58444	9.986163	20149
19543	Isestraße o.Nr.	53.580659	9.980794	20144
19590	Strecke der U-Bahnlinie U3	53.584272	9.985754	20149
19641	Oberstraße o.Nr. gegenüber von Nr. 56	53.577455	9.983528	20144
19652	Streekbrücke o.Nr.	53.58369	9.995404	20149
19679	Innocentiastraße o.Nr.	53.578185	9.982902	20144
19877	Hagenbeckstraße o.Nr.	53.596843	9.938121	22527
19950	Elsastraße o.Nr. nördl. von Nr. 46	53.579666	10.034747	22083
20056	Oberstraße 16a	53.57589	9.979863	20144
20065	Oberstraße 14a	53.576698	9.979055	20144
20065	Oberstraße 14b	53.576698	9.979055	20144
20065	Oberstraße 14c	53.576698	9.979055	20144
20077	Oberstraße 18a	53.576698	9.980671	20144
20077	Oberstraße 18b	53.576698	9.980671	20144
20077	Oberstraße 18c	53.576698	9.980671	20144
20077	Oberstraße 18d	53.576698	9.980671	20144
20127	Maxstraße o.Nr.	53.572747	10.047114	22081
20245	Heider Straße 1a	53.582211	9.973957	20251
20319	Brabandstraße o.Nr.	53.611675	10.001038	22297
20942	Grasweg 6a	53.592986	10.002181	22299
20943	Grasweg 6a	53.593122	10.002156	22299
21082	Alsterdorfer Straße o.Nr.	53.602605	9.997485	22297
21083	Alsterdorfer Straße o.Nr.	53.602404	9.997324	22297
21224	Hellbrookstraßenbrücke o.Nr.	53.590925	10.033916	22303
21404	Sengelmannstraße o.Nr.	53.609876	10.024396	22297
21441	Barmbeker Straße o.Nr.	53.590648	10.010393	22303
21802	Hudtwalckerstraße o.Nr.	53.59309	9.99369	22299
21867	Körnerstraßenbrücke o.Nr.	53.579375	10.012236	22301
21912	Maria-Louisen-Straße o.Nr.	53.590524	10.006043	22301
21976	Saarlandstraße o.Nr. östlich der Straße	53.594307	10.032795	22303
21999	Sierichstraße o.Nr.	53.590362	10.000221	22299
22237	Richardstraßenbrücke o.Nr.	53.569747	10.03774	22081
22289	Alfredstraßenbrücke o.Nr.	53.558663	10.031694	22087
22318	Wohldorfer Straße o.Nr.	53.577057	10.03998	22081
22321	Marschnerstraße o.Nr.	53.575549	10.038653	22081
22322	Wagnerstraße o.Nr.	53.574064	10.03705	22081
22323	Volksdorfer Straße o.Nr.	53.57643	10.0397	22081
22556	Fuhlsbüttler Straße o.Nr.	53.603338	10.03781	22307
22586	Wohldorfer Straße o.Nr. westlich von Nr. 30	53.576875	10.041975	22081
22587	Wohldorfer Straße o.Nr. westlich von Nr. 30	53.576846	10.042383	22081
22904	Straßburger Platz o.Nr.	53.581301	10.061623	22049
22905	Straßburger Platz 6a	53.581381	10.061448	22049
22941	Adlerstraße o.Nr.	53.587756	10.05998	22305
23197	Hellbrookstraße o.Nr.	53.589634	10.039384	22305
23197	Hufnerstraße o.Nr.	53.589634	10.039384	22305
23212	Krausestraße o.Nr.	53.58354	10.054549	22049
23212	Krausestraßenbrücke o.Nr.	53.58354	10.054549	22049
23244	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 57	53.578967	10.095782	22041
23250	Kirchhofstraße o.Nr.	53.578176	10.068629	22041
23253	Kedenburgstraße o.Nr. (neben Nr. 012)	53.579401	10.086783	22041
