Typ	Wikidata	Wikidata	Wikidata	Wikidata
Gasreglerhaus/ Wohnhaus	Q47162123			
Gasthaus	Q5526694			
Gasthaus (mit Saal)	Q5526694			
Gasthaus (mit Tanzsaal und Kegelbahn, im Kern urspr. Wohngebäude)	Q5526694			
Gasthaus mit Saalanbau	Q5526694			
Gasthaus/ Ausflugslokal <Gasthaus/ Hotel; Saalbau mit Konzert- und Ballsaal/ Aussichtsturm>	Q5526694			
Gasthaus/ Wohngebäude	Q5526694			
Gasthaus/ Wohnhaus	Q5526694			
Gasthaus; Remise; u.a.	Q5526694	Q517820		
Gasthausgebäude	Q5526694			
Gaststätte	Q5526694			
Gaststätte (Kaffeeklappe für Hafenarbeiter)	Q5526694			
Gaststätte (mit Bootsverleih)	Q5526694			
Gaststätte (mit Saal)	Q5526694			
Gaststätte/ Herberge	Q5526694			
Gaststätte/ Wohnhaus	Q5526694			
Gaststätte/Ladengebäude	Q5526694	Q213441		
Gaststätte; Garten	Q5526694	Q1107656		
Gaswerk	Q1495738			
Gaswerk <Gasmessanlage; Gelbkali-Fabrik; Gasförderanlage>	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Halle; Gasreinigung)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Halle; Kohlenschuppen mit höherem Kohlenbunker)	Q1495738	Q91122		
Gaswerksgebäude/ Betriebsgebäude (Halle; Kohlenschuppen)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Kohlenturm)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Uhren- und Reglerhaus)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Verwaltungsgebäude)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude (Werkstattgebäude)	Q1495738			
Gaswerksgebäude/ Betriebsgebäude; Einfriedung (zur Straße)	Q1495738	Q1307347		
Gebäude	Q41176			
Gebäude (Hofbebauung, Hinterhaus)	Q41176			
Gebäudeteil (Erdgeschoss)				
Gebäudeteile				
Gedenkstätte				
Gedenkstein	Q11734477			
Gedenksteine (Findlinge)	Q11734477			
Gedenktafel	Q721747			
Gedenkzeichen; Kirchengebäude		Q16970		
Gefängnis	Q40357			
Gefängnisbau	Q40357			
Gefechtsturm				
Gehwegplatten				
Gemeindehaus	Q1500615			
Gemeindehaus (Gemeindesaal, Anbau an Etagenhaus)	Q1500615			
Gemeindehaus mit Kindergarten	Q1500615			
Gemeindehaus/ Pfarrhaus	Q1500615			
Gemeindehaus/ Wohnhaus	Q1500615			
Gemeindehaus/Pastorat	Q1500615	Q607241		
Gemeindehaus; Kirche	Q1500615	Q16970		
Gemeindehaus; Kirchengebäude	Q1500615	Q16970		
Gemeindehaus; Pastorat	Q1500615	Q607241		
Gemeindehaus; Pastorat; Turm	Q1500615	Q607241	Q72926449	
Gemeindehaus; Pfarrhaus	Q1500615	Q607241		
Gemeindezentrum	Q1500615			
Gemeindezentrum (Kirchengebäude mit Gemeinderäumen)	Q1500615	Q16970		
Gemeindezentrum (Kirchengebäude/ Gemeindehaus/ Pfarrhaus)	Q1500615	Q16970		
Gemeindezentrum <Kindergarten; u.a.>	Q1500615			
Gemeindezentrum <Kirchengebäude; Gemeindesaal; Skulpturen; Außenanlagen (Treppen, Mauern, Freiflächen usw.)>	Q1500615	Q16970	Q860861	
Gemeindezentrum <Kirchengebäude; u.a.>	Q1500615	Q16970		
Gemeindezentrum <Kirchensaal; u.a.>	Q1500615			
Gemeindezentrum <Pfarrhaus; u.a.>	Q1500615	Q607241		
Gemeindezentrum; Kirchengebäude	Q1500615	Q16970		
Gemeindezentrum; Pastorat	Q1500615	Q607241		
Gerätehaus	Q47162123			
Gericht	Q1137809			
Gerichtsgebäude	Q1137809			
Gerichtsgebäude; Gefängnis	Q1137809			
Geschäftsgebäude	Q655686			
Geschäftsgebäude/ Lagergebäude	Q655686			
Geschäftsgebäude; Siedlungsbau	Q655686			
Geschäftshaus	Q655686			
Geschäftshaus {Etablissement (nach Umnutzung)}	Q655686			
Geschäftshaus/ Gaststätte	Q655686			
Geschäftshaus/ Kontorhaus	Q655686	Q1783234		
Geschäftshaus; Speicher (rückwärtig)	Q655686	Q1362225		
Geschosswohnungsbau	Q11755880			
Gesellschaftshaus	Q47162123			
Getreidespeicher (Silo); Verladebrücke (stationäre Anlage zur Wasserseite)	Q1362225			
Gewächshaus (Erdgewächshaus)	Q47162123			
Gewächshäuser	Q47162123			
Gewässer				
Gewerbebau	Q1520437			
Gewerbebau (Hinterhaus)	Q1520437			
Gewerbebau (Hofbebauung)	Q1520437			
Gewerbebau (Hofbebauung)/Speicher (Kanalbebauung)	Q1520437	Q1362225		
Gewerbebau (Hofbebauung, Gewerbehof)	Q1520437			
Gewerbebau (Speichergebäude)	Q1520437	Q1362225		
Gewerbebau/ Wohnhaus	Q1520437			
Gewerbebau/Speicher	Q1520437	Q1362225		
Gewerbebauten	Q1520437			
Gewerbegebäude	Q1520437			
Gewerbekomplex	Q1520437			
Gewerbekomplex <Gewerbegebäude; Büro- und Gewerbegebäude; u.a.>	Q1520437			
Glasfenster				
Gleisanlagen (Überreste); Bahnsteig (Überreste)				
Glockenturm	Q200334			
Göpelhaus	Q47162123			
Gräber	Q56055312			
Grabmal	Q56055312			
Grabmal (Ehrengrabstätte mit Gedenkstein und eingefriedetem Grabfeld)	Q56055312			
Grabmal {Denkmal (nach Umgestaltung)}	Q56055312			
Grabmal; Kirche	Q56055312	Q16970		
Grabmale	Q56055312			
Grabmale; Grabanlagen	Q56055312			
Grabschmuck	Q56055312			
Grabsteine	Q56055312			
Grabsteine/ Erinnerungsmale	Q56055312			
Grabsteine/ Erinnerungsmale (mit Einfriedung)	Q56055312	Q1307347		
Grabsteine; Grüfte mit liegenden Grabplatten; Grabstätten	Q56055312			
Grenzstein	Q921099			
Grenzstein (Fischereibegrenzungsstein)	Q921099			
Grenzstein (Forst- und Ämterstein)	Q921099			
Grenzstein (vermutl.)	Q921099			
Grenzstein (Wegeunterhaltungsstein)	Q921099			
Grenzstein (Zunft)	Q921099			
Grenzstein/Grenzsäule	Q921099			
Großmarkt	Q5640773			
Grotte (Gartengrotte)				
Grünanlage	Q22652			
Grünanlage (gärtnerisch gestalteter Vorplatz östlich des Schulgebäudes)	Q22652			
Grünanlage <Grünflächen; Teich; Bäume (Eichen)>	Q22652			
Grünfläche	Q22652			
Grünfläche; Entwässerungsgraben	Q22652			
Grüngestaltung	Q22652			
Grünstreifen	Q22652			
Güterbahnhofsgebäude/ Bahnschuppen	Q55493			
Güterbahnhofsgebäude/Bahnschuppen	Q55493			
Güterwagenhalle	Q47162123			
Gutsanlage <Herrenhaus; Stallgebäude; Nebengebäude; Geflügelhaus; Instenhaus; Lagerhaus; Torhaus; Allee; Pflaster; Teich; Grünfläche>	Q879050	Q3328263		
Gutsgelände (historisch geprägte Flächen)	Q879050			
Gutshaus	Q879050			
Gutshaus {Landhaus (nach Umbau)}	Q879050			
Hafen	Q1414773			
Hafen; Kanal	Q1414773			
Hafenbecken <Hafenbecken; Uferbefestigung>; Schlengelanlage	Q1414773			
Hafentreppe (mit Kasematten, Geländer und Laternen)				
Halbportalkrananlage	Q178692			
Halle (Straßenbahndepot)	Q240854			
Halle 15	Q240854			
Halle 15.1	Q240854			
Hallen 14 bis 14.2	Q240854			
Handwerkerhaus	Q58403020			
Handwerkerhaus (Reepschlägerei) {Mehrfamilienhaus (nach Umnutzung}	Q58403020			
Hangbefestigung/ Hanggestaltung <Futtermauern; Geländer; Gitter; Treppen; terrassiertes Gelände>				
Hauptgebäude	Q47162123			
Haus für Sportler	Q47162123			
Hausgarten	Q114794860			
Heckeneinfriedung	Q1307347			
Heim	Q47162123			
Heim ("Erziehungsanstalt für sittlich verwahrloste Knaben") {Mehrfamilienhaus (nach Umbau 1923)}	Q47162123			
Heimgebäude	Q47162123			
Heuberg	Q47162123			
Hinterhaus	Q47162123			
HJ-Heim	Q47162123			
Hochbahnviadukt				
Hochbrücke				
Hochschulgebäude	Q47162123			
Hochschulgebäude (Fachhochschule)	Q47162123			
Hochschulgebäude; Institutsgebäude	Q47162123			
Hof	Q58148376			
Hofanlage	Q58148376			
Hofanlage <Bauernhaus; Scheune>	Q58148376	Q1303167		
Hofanlage <Hoffläche; u.a.>	Q58148376			
Hofanlage <Wohngebäude/ Stallgebäude; Einfriedung; u.a.>	Q58148376	Q1307347		
Hofanlage <Wohngebäude; Scheune/ Stall>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Backhaus>	Q58148376			
Hofanlage <Wohnwirtschaftsgebäude; Garten; Einfriedung; u.a.>	Q58148376	Q1307347	Q1107656	
Hofanlage <Wohnwirtschaftsgebäude; Prunkpforte>	Q58148376			
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Arbeiterwohnhaus>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Bäume; Zaun>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Einfriedung>	Q58148376	Q1303167	Q1307347	
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Hausgarten>	Q58148376	Q1303167	Q1107656	
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Hoffläche; Windbäume; Lattenzaun; Auffahrt>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; massives Nebengebäude>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Nebengebäude; Einfriedung; u.a.>	Q58148376	Q1303167	Q1307347	
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Obstgarten <Baumreihe; Einfriedung>>	Q58148376	Q1303167	Q1307347	Q1107656
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Pflaster>	Q58148376	Q1303167	Q3328263	
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Schneitelbäume>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Stall; Pflaster>	Q58148376	Q1303167	Q3328263	
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Stall>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Stallscheune; u.a.>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Tore; u.a.>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; u.a.>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Waschhaus>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune; Windbäume>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheune>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheunen; Backhaus; u.a.>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Scheunen; Einfriedung>	Q58148376	Q1303167	Q1307347	
Hofanlage <Wohnwirtschaftsgebäude; Scheunen; Speicher; Stall>	Q58148376	Q1303167	Q1362225	
Hofanlage <Wohnwirtschaftsgebäude; Scheunen; Tor; Einfriedung; Pflaster>	Q58148376	Q1303167	Q1307347	Q3328263
Hofanlage <Wohnwirtschaftsgebäude; Scheunen; Tor; Einfriedung>	Q58148376	Q1303167	Q1307347	
Hofanlage <Wohnwirtschaftsgebäude; Scheunen>	Q58148376	Q1303167		
Hofanlage <Wohnwirtschaftsgebäude; Speicher (Turmspeicher)>	Q58148376	Q1362225		
Hofanlage <Wohnwirtschaftsgebäude; Stall>	Q58148376			
Hofanlage <Wohnwirtschaftsgebäude; Ställe; Einfriedung>	Q58148376	Q1307347		
Hofanlage <Wohnwirtschaftsgebäude; u.a.>	Q58148376			
Hofanlage <Wohnwirtschaftsgebäude; Wirtschaftsgebäude>	Q58148376			
Hofbebauung	Q58148376			
Hofeinfahrtssteine				
Hoffläche				
Hoffläche (rückwärtig)				
Hoffläche; Mauer				
Hofpflasterung	Q3328263			
Höft				
Höft; u.a.				
Hotel	Q27686			
Hotel (Strandhotel)	Q27686			
Hotel {Geschäftshaus (nach Umnutzung)}	Q27686			
Hotel/ Kontorhaus	Q27686	Q1783234		
Hotel; Einfriedung	Q27686	Q1307347		
Hotelhochhaus	Q27686			
Hufnerhaus	Q11755880			
Hufnerhaus; Scheune	Q11755880	Q1303167		
Hufnerhaus; u.a.	Q11755880			
Inneneinrichtung				
Innenhof	Q309250			
Innungshaus	Q47162123			
Institutsgebäude	Q47162123			
Institutsgebäude (Impfanstalt)	Q47162123			
Institutsgebäude/ Bibliothek	Q47162123			
Jugendheim (Haus der Jugend)	Q47162123			
Kaianlagen	Q828909			
Kaianlagen (in Teilen)	Q828909			
Kaianlagen <Kräne; u.a.>	Q828909	Q178692		
Kaimauern/Wassertreppen	Q828909			
Kaischuppen	Q47162123			
Kanal	Q12284			
Kanal/Fleet	Q12284			
Kanal; Schleuse	Q12284			
Kanal; Uferbefestigung/ Treppen	Q12284			
Kanal; Ufereinfassungen	Q12284			
Kanal; Ufereinfassungsn	Q12284			
Kanal; Ufermauern	Q12284			
Kanal; Wasserfläche	Q12284			
Kanalabschnitt	Q12284			
Kandelaber				
Kapelle	Q108325			
Kapelle (Begräbniskapelle)	Q108325			
Kapelle; Mausoleum	Q108325			
Kapelle; Turm	Q108325	Q72926449		
Kasematte	Q47162123			
Kasematte/Gewerbebau	Q47162123			
Kasematten mit Vorplatz	Q47162123			
Kaserne	Q131263			
Kaserne (Luftwaffe) <Mannschaftsunterkünfte; Zwischentrakte; Stabsgebäude/ Wirtschaftsgebäude; Kraftfahrzeughallen/ Geschützhallen; Heizwerk; Wachgebäude;  Einfriedungen; Findling (vor dem Tor); Straßen- und Wegenetz; begrünte Freiflächen; u.a.>	Q131263	Q1307347		
Kaserne {Schulanlage (Bundeswehr)}	Q131263			
Kaserne <Mannschaftsunterkünfte; Offiziersheim; Offizierskasino; Stabsgebäude; Wirtschaftsgebäude; Kraftfahrzeughallen/ Geschützhallen (mit Flakturm); Technikhalle/ Heizwerk; Torhaus; Einfriedungen; u.a. >	Q131263	Q1307347		
Kasernenanlage	Q131263			
Kasernenanlage (Polizeikaserne)	Q131263			
Kasernenanlage (Polizeikaserne) <Kasernengebäude, Pulvermagazin>	Q131263			
Kasernenanlage (Polizeikaserne) <Turnhalle; Schmiede>	Q131263			
Kasernenanlage (Polizeikaserne) <Wagenschuppen; Stall>	Q131263			
Kasernengebäude	Q131263			
Kasernengebäude (Fahrzeugschuppen)	Q131263			
Kasernengebäude (Mannschaftsgebäude)	Q131263			
Kasernengebäude (Polizeikaserne)	Q131263			
Kasernengebäude (Reithalle/Exerzierhaus)	Q131263			
Kasernengebäude (Stabsgebäude)	Q131263			
Kasernengebäude (Stabsgebäude) {Polizeiwache (nach Umnutzung)}	Q131263			
Kasernengebäude (Turnhalle/Stall)	Q131263			
Kasernengebäude (Wirtschaftsgebäude)	Q131263			
Kasernengebäude, Kasernenstabsgebäude (Torgebäude mit Haupteingang) {Krankenhaus (nach Umnutzung 1945)}	Q131263			
Kate	Q11755880			
Kate (Gaststätte (seit 1890))	Q11755880			
Kate {Gasthaus}	Q11755880			
Kate/ Bauernhaus {Wohnhaus (nach Umbau)}	Q11755880			
Kate; Einfriedung	Q11755880	Q1307347		
Kate; Remise	Q11755880	Q517820		
Kate; Vorgarten	Q11755880	Q1107656		
Kaufhaus	Q216107			
Kaufhaus {Speicher (nach Translozierung)}	Q216107	Q1362225		
Kaufmannshaus (Wohnhaus mit Speicher, Typ althamburgisches Bürgerhaus)	Q41176	Q1362225		
Kaufmannshaus; Speicher (Anbau); Fabrikgebäude (Anbau)	Q41176	Q1362225		
Kavaliershaus/ Sommerwohnhaus	Q47162123			
Keller				
Kesselhaus	Q1739809			
Kesselhaus mit Schlot	Q1739809			
Kesselhaus/ Maschinenhaus	Q1739809			
Kindergarten	Q126807			
Kinderheim	Q53033847			
Kinderheim/ Kindergarten	Q53033847	Q126807		
Kinderheim/ Pflegeheim/ Wohnheim	Q53033847			
Kinderkrippe	Q126807			
Kindertagesstätte	Q126807			
Kino	Q41253			
Kinosaal	Q41253			
Kiosk	Q693369			
Kiosk/ Toilettenhäuschen	Q693369	Q813966		
Kiosk/Toilettenhaus	Q693369	Q813966		
Kiosk; Arkaden; Leuchten; Bäume; Bänke; u.a.	Q693369			
Kirche	Q16970			
Kirche; Gemeindezentrum	Q16970			
Kirchengebäude	Q16970			
Kirchengebäude (Kirchensaal mit Turm)	Q16970	Q72926449		
Kirchengebäude (Kirchensaal); Einfriedung	Q16970	Q1307347		
Kirchengebäude (mit Nebenräumen)	Q16970			
Kirchengebäude (mit Verbindungsbauten)	Q16970			
Kirchengebäude (Notkirche)	Q16970			
Kirchengebäude (Notkirche, Einbau in Kirchenruine)	Q16970			
Kirchengebäude (Ruine) {Mahnmal (nach Zerstörung und Umwidmung)}	Q16970			
Kirchengebäude (Turm)	Q16970	Q72926449		
Kirchengebäude mit Gemeindehaus	Q16970			
Kirchengebäude mit Gemeindehaus; Pastorat; Turm	Q16970	Q607241	Q72926449	
Kirchengebäude mit zwei Pastoraten	Q16970	Q607241		
Kirchengebäude/ Gemeindeschule (katholisch)	Q16970			
Kirchengebäude/ Gemeindezentrum	Q16970			
Kirchengebäude/ Kirchturm	Q16970	Q72926449		
Kirchengebäude; Gemeindehaus; Pastorat	Q16970	Q607241		
Kirchengebäude; Gemeindezentrum; Kinderheim	Q16970			
Kirchengebäude; Kirchenausstattung	Q16970			
Kirchengebäude; Kirchturm	Q16970	Q72926449		
Kirchengebäude; Kirchturm (freistehend)	Q16970	Q72926449		
Kirchengebäude; Kirchturm (Glockenturm)	Q16970	Q72926449		
Kirchengebäude; Nebengebäude (Anbauten); Kirchturm	Q16970	Q72926449		
Kirchengebäude; Pastorat	Q16970	Q607241		
Kirchengebäude; Pastorat (Anbau)	Q16970	Q607241		
Kirchengebäude; Pastorat; Gemeindehaus	Q16970	Q607241		
Kirchengebäude; Pfarrhaus	Q16970	Q607241		
Kirchengebäude; Turm	Q16970	Q72926449		
Kirchenkreishaus	Q47162123			
Kirchenschiff	Q16970			
Kirchturm	Q72926449			
Kirchturm; Einfriedung	Q72926449	Q1307347		
Kleintierstall	Q47162123			
Kleinviehstall	Q47162123			
Kleinwohnhaus	Q11755880			
Kleinwohnhaus (Doppelhaus)	Q11755880			
Kleinwohnhaus (Handwerkerhaus)	Q58403020	Q11755880		
Kleinwohnhaus (Kate); Bäume	Q11755880			
Kleinwohnhaus (mit Werkstatt)	Q11755880			
Kleinwohnhaus (ortstypisches Reihenwohnhaus mit drei Hausteilen)	Q11755880			
Kleinwohnhaus/Reihenhaus (Langer Jammer)	Q11755880			
Kleinwohnhaus; u.a.	Q11755880			
Klinikgebäude/Institutsgebäude	Q47162123			
Kloster	Q44613			
Knick				
Kolleg	Q47162123			
Konfirmandensaal	Q47162123			
Kongresszentrum	Q1378975			
Kontor- und Geschäftshaus	Q1783234			
Kontorhaus	Q1783234			
Kontorhaus (Fassade)	Q1783234			
Kontorhaus (mit Lager, Produktions- und Werkstätten)	Q1783234			
Kontorhaus (mit Speicherböden)	Q1783234	Q1362225		
Kontorhaus (mit Tankstelle)	Q1783234			
Kontorhaus {Bankgebäude (nach Umbau)}	Q1783234			
Kontorhaus; Fabrikanlage (nach Umnutzung 1927/29)	Q1783234			
Konzentrationslager	Q152081			
Konzentrationslager <Garagen>	Q152081			
Konzentrationslager <Häftlingsunterkünfte>	Q152081			
Konzentrationslager <Klinkerwerk>	Q152081			
Konzentrationslager <Wohngebäude>	Q152081			
Konzertgebäude	Q8719053			
Kornspeicher	Q1362225			
Kraftwerk	Q159719			
Kraftwerksanlage <Kesselhaus; Schornstein>	Q159719			
Kran	Q178692			
Krananlage	Q178692			
Krananlage <Halbportalkran; Kranbahn>	Q178692			
Krananlage <Kranbahn; Laufkatze>	Q178692			
Krane	Q178692			
Kräne	Q178692			
Krankenhaus	Q16917			
Krankenhaus (Kinderkrankenhaus)	Q16917			
Krankenhaus; Schule	Q16917			
Krankenhausanlage	Q16917			
Krankenhausanlage (Krankenhausgebäude; Einfriedungen; Treppen; Kandelaber; Außenanlagen (z.T.))	Q16917	Q1307347		
Krankenhausanlage <Gebäude; Pavillons; Krankenhausgelände (parkähnliche Anlage mit Wegenetz und Pflanzungen)>	Q16917	Q22698		
Krankenhausanlage <Krankenhausgebäude; Kapelle; Ärztehaus>	Q16917			
Krankenhausanlage <Krankenhausgebäude; Pförtnerhäuschen>; Jüdischer Friedhof	Q16917			
Krankenhausgebäude	Q16917			
Krankenhausgebäude (Behandlungs- und Bettenhaus)	Q16917			
Krankenhausgebäude (Krankenpavillon, Verwaltungsgebäude)	Q16917			
Krankenhausgebäude (Krankenpavillons)	Q16917			
Krankenhausgebäude (mit Operationssaal und Hörsaal)	Q16917			
Krankenhausgebäude (Schwesternheim)	Q16917			
Krankenhausgebäude (Verwaltungsgebäude)	Q16917			
Krankenhausgebäude (Wirtschaftsgebäude)	Q16917			
Krankenhausgebäude/ Betriebsgebäude/ Maschinenhaus (Kesselhaus)	Q16917			
Krankenhausgebäude/ Institutsgebäude	Q16917			
Krankenhausgebäude; Einfriedungen; Außenanlagen (z.T.)	Q16917	Q1307347		
Krankenhausgelände <Außengestaltung; Alleen; Wege; Einfriedungen (mit Trafohaus); Brunnenhaus; u.a.>	Q16917	Q1307347		
Krankenhauskomplex	Q16917			
Kranwärterhaus	Q47162123			
Krematorium	Q157570			
Kriegerdenkmal	Q575759			
Kriegerdenkmal (1870/71)	Q575759			
Kriegerdenkmal (Friedenseiche mit Findling)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1848 und 1870/ 71)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1848/ 49, u.a.) <Gedenkstein; Eiche>	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1864/ 66)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1870/ 71 u.a.)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1870/ 71)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1870/ 71) (Findling unter Eiche)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1870/ 71); Baum	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1870/ 71, u.a.)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18 und 1939/ 45)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18 und 1939/ 45) (Findling)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18 und 1939/ 45) <Kreuze; Stelen; Tafel>	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18) (Denkmalanlage aus verklinkerter Stele mit Erinnerungstafeln und umfassenden Mäuerchen)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/ 18; hier Findling mit Tafel einschließlich Einfriedung und Hecke)	Q575759	Q1307347		
Kriegerdenkmal (Kriegerdenkmal 1914/ 18; Kriegerdenkmal 1939/ 45)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/18 und 1939/45)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1914/18)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45) (drei Findlinge mit Bronzetafel)	Q575759			
Kriegerdenkmal (Kriegerdenkmal 1939/ 45) <Hain (Birkenhain); 	Q575759			
Kriegerdenkmal (Regimentsehrenmal)	Q575759			
Kriegerdenkmal <Kriegerdenkmal 1870/71; Kriegerdenkmal 1914/18; Kriegerdenkmal 1939/45>	Q575759			
Küchengebäude	Q47162123			
Kulturlandschaft				
Kunst im öffentlichen Raum				
Kunst im öffentlichen Raum (Lichtobjekt)				
Küsterhaus	Q47162123			
Küsterhaus/ Organistenwohnhaus	Q47162123			
Kutscherhaus	Q47162123			
Kutscherhaus/ Remise/ Stall; Wohnhaus (nach Umnutzung)	Q47162123	Q517820		
Laden	Q213441			
Läden/ Geschäftspavillons (Ladenzentrum)	Q213441	Q276173		
Ladengebäude	Q213441			
Ladenzeile	Q213441			
Lager- und Werkstattgebäude/ Wohnhaus	Q181623			
Lagergebäude	Q181623			
Lagergebäude  mit Wagenhalle (Hinterhaus)	Q181623			
Lagergebäude/ Werkstattgebäude (Möbelfabrikation, Hinterhaus)	Q181623			
Lagerhaus	Q181623			
Lagerhaus; Pflaster; Vorgarten; Werkstatt; Wohnen	Q181623	Q3328263	Q1107656	
Lagerhaus; Postgebäude	Q181623			
Landarbeiterhaus	Q47162123			
Landarbeiterhaus; Zaun	Q47162123			
Landhaus	Q16884952			
Landhaus (mit Garage)	Q16884952			
Landhaus {Rathaus (nach Umnutzung)}	Q16884952			
Landhaus/ Jagdhaus	Q16884952			
Landhaus/ Wohnwirtschaftsgebäude	Q16884952			
Landhaus; Einfriedung	Q16884952	Q1307347		
Landhaus; Einfriedung; Tor	Q16884952	Q1307347		
Landhaus; Einfriedungen; Auffahrt	Q16884952	Q1307347		
Landhaus; Garten	Q16884952	Q1107656		
Landhaus; Garten (vermutl.)	Q16884952	Q1107656		
Landhaus; Garten; Einfriedung	Q16884952	Q1307347	Q1107656	
Landhaus; Gartenpavillon	Q16884952	Q276173		
Landhaus; Mauer; Sieberling; Einfriedung	Q16884952	Q1307347		
Landhaus; Stützmauer	Q16884952			
Landhaus; Stützmauer (erhaltene Teile)	Q16884952			
Landhaus; Tor; Garten	Q16884952	Q1107656		
Landhaus; Torhaus; Allee; Hoffläche; Einfriedung/ Tor (zur Straße)	Q16884952	Q1307347		
Landhaus; u.a.	Q16884952			
Landhaus; Zaun	Q16884952			
Landhausgarten	Q1107656			
Landheim	Q47162123			
Laube	Q47162123			
Lehr- und Tagungsgebäude	Q47162123			
Lehrgebäude	Q3914			
Lehrgebäude (Institutsgebäude/ Hörsaalgebäude)	Q3914			
Lehrgebäude/ Hörsaalgebäude	Q3914			
Lehrgebäude/ Institutsgebäude (Fachschule)	Q3914			
Lehrgebäude/ Institutsgebäude (Maschinenhaus/ Maschinenbaulaboratorium)	Q3914			
Lehrgebäude/ Institutsgebäude (Schiffsbaulaboratorium)	Q3914			
Leihhaus	Q47162123			
Leuchtturm	Q39715			
Litfaßsäule	Q13964			
Logenhaus	Q47162123			
Lokschuppen	Q47162123			
Lokschuppen/Werkstatt	Q47162123			
Löschteich (vermutl.)				
Lotsenhaus	Q47162123			
Lotsenhaus/ Feuerwache	Q47162123			
Luftschutzbau	Q47162123			
Luftschutzbau (Betonformsteinunterstand)	Q47162123			
Luftschutzbau (Ringtreppenturm)	Q47162123			
Mälzerei	Q47162123			
Markthalle	Q2080521			
Markthalle (Gebäudeteil)	Q2080521			
Markthalle (Großmarkthalle); u.a.	Q2080521			
Markthalle (Zentralviehmarkt)	Q2080521			
Markthalle; Marktfläche	Q2080521			
Maschinenhaus	Q47162123			
Maschinenhaus/ Kesselhaus (Wasserwerk (Pumpwerk))	Q47162123			
Mauer	Q42948			
Mauern (Stützmauern)	Q42948			
Mausoleum	Q162875			
Mausoleum; Einfriedung	Q162875	Q1307347		
Mehrfamilienhaus	Q1498804			
Mehrfamilienhaus (Doppelhaus)	Q6453233			
Mehrfamilienhaus (Doppelhaushälfte)	Q1498804			
Mehrfamilienhaus (Eisenbahnerwohnungen)	Q1498804			
Mehrfamilienhaus (Hinterhaus)	Q1498804			
Mehrfamilienhaus (Hinterhaus); Einfriedigung (Zaun zum Garten); Hoffläche	Q1498804			
Mehrfamilienhaus (Mietshaus)	Q1498804			
Mehrfamilienhaus (mit Gaststätte und Laden)	Q1498804	Q62602544	Q213441	
Mehrfamilienhaus (mit Laden)	Q1498804			
