Typ	Wikidata	Wikidata	Wikidata	Wikidata
Bleicherhaus (Hofbebauung, Hinterhaus)	Q58403020			
Bleicherhaus (Vorderhaus)	Q58403020			
Bleicherhaus (Wohngebäude mit angebautem Wirtschaftsteil, vermutl. Waschhaus); Vorgarten; Pflaster	Q58403020	Q3328263		
Bleicherhaus (z.T. Hoflage)	Q58403020			
Bleicherhaus; Vorgarten; Einfriedung; Pflaster	Q58403020	Q1307347	Q3328263	
Bodenspeicher	Q1362225			
Böllerstation	Q47162123			
Bootsanleger <Ponton; Brücke>				
Bootshaus	Q1777951			
Bootshaus/Vereinshaus	Q1777951	Q1103285		
Bootshaus/Wohnhaus	Q1777951			
Bootshaus; Brücke; Pavillon; Uferbefestigung	Q1777951	Q276173		
Börse	Q41176			
Botanischer Garten {Parkanlage}	Q22698			
Brack				
Brauereikeller <Keller; Einfahrstor>				
Brauhaus/ Branntweinbrennerei	Q47162123			
Bronzetafel				
Brücke	Q12280			
Brücke (Fußgängerbrücke)	Q12280			
Brücke/Grenzzeichen	Q12280			
Brücke/Steg	Q12280			
Brücke/Widerlager/Gewerbebau	Q12280			
Brücke/Widerlager/Gewerbebau/Kasematte	Q12280			
Brücke; Gewerbegebäude; Kasematte	Q12280	Q1021645		
Brücken	Q12280			
Brückengeländer; Kandelaber				
Brückenskulptur	Q860861			
Brunnen	Q43483			
Brunnen (Becken/Brunnenfigur)	Q43483			
Brunnen/ Denkmal	Q43483			
Brunnenanlage	Q43483			
Brunnenplastik	Q860861			
Brunnenskulptur	Q860861			
Brunnenskulpturen	Q860861			
Bücherhalle	Q7075			
Bunkerhaus	Q91122			
Bunkerhaus (Krankenhausbunker); Tunnel (unter der Bülowstraße)	Q91122			
Bunkerhaus (OP-Bunker)	Q91122			
Bunkerhaus {Institutsgebäude (nach Umnutzung)}	Q91122			
Büro- und Gewerbegebäude	Q1021645			
Büro- und Wohngebäude	Q1021645			
Büro- und Wohnhaus	Q1021645			
Bürobau	Q1021645			
Bürogebäude	Q1021645			
Bürogebäude (Fabrik)	Q1021645			
Bürogebäude (Verlag)	Q1021645			
Bürogebäude/ Zollamt	Q1021645			
Bürogebäude/Gewerbebau	Q1021645			
Bürogebäude/Passage	Q1021645			
Bürogebäude/Speicher	Q1021645	Q1362225		
Bürogebäude/Wohngebäude/Hochhaus	Q1021645	Q11755880	Q18142	
Bürogebäude; Wohnen	Q1021645	Q11755880		
Bürogeschäftshaus	Q1021645			
Bürohaus	Q1021645			
Bürohaus (mit Badeanstalt)	Q1021645			
Bürohochhaus (mit Andachtsräumen)	Q1021645	Q18142		
Clubhaus	Q1103285			
Clubhaus; Sportgelände (Polospielfeld)	Q1103285			
Dach				
Deich	Q105190			
Deich (Hauptdeich)	Q105190			
Deich (mit Straße)	Q105190			
Deich (Sommerdeich)	Q105190			
Deichvorland	Q105190			
Denkmal	Q5003624			
Denkmal (Bronzestandbild, Granitsockel)	Q5003624			
Denkmal (Denkmal für die Erhebung Schleswig-Holsteins 1848 und Kriegerdenkmal 1914/ 18)	Q575759			
Denkmal (Denkmal für die Erhebung Schleswig-Holsteins 1848)	Q5003624			
Denkmal (Findling mit Tafel)	Q5003624			
Denkmal (Gedenkstein/ Stele)	Q5003624			
Denkmal (Kriegerdenkmal 1870/71; Gegendenkmal)	Q575759			
Denkmal (zwei Reliefs)	Q5003624			
Denkmal <Gedenkstein/Eichen/Rasenfläche>	Q5003624			
Denkmal/ Brunnen	Q5003624			
Denkmal/ Ehrenmal	Q5003624			
Denkmal/ Kriegerdenkmal (Kriegerdenkmal 1914/ 18)	Q575759			
Denkmal; Friedhof; Pflaster; Turm; Wohnen	Q5003624	Q3328263		
Denkmal; Grabmal	Q5003624			
Denkmalanlage	Q5003624			
Denkmalanlage (Findlinge, z.T. mit Bronzeplatte) <Kriegerdenkmal 1848/ 51; Kriegerdenkmal 1870/ 71; Kriegerdenkmal 1914/ 18; Kriegerdenkmal 1939/ 45; Denkmal für die Erhebung Schleswig-Holsteins)>	Q575759			
Denkmalanlage (Gruppe von Gedenksteinen)	Q5003624			
Denkmalanlage (Kriegerdenkmal 1870/ 71)	Q575759			
Denkmalanlage (Kriegerdenkmal 1914/ 18 und 1939/ 45) <Mauer; Stele; Tafeln>	Q575759			
Denkmalanlage (Kriegerdenkmal 1914/ 18)	Q575759			
Denkmalanlage (Kriegerdenkmal 1914/18 und 1939-45)	Q575759			
Denkmalanlage (Mauer mit Tafel und niedriger Zaun)	Q5003624			
Denkmalanlage (Obelisk, Sockel, gusseiserne Einfriedung)	Q5003624	Q1307347		
Denkmalanlage (Reiterstandbild mit vier weiteren Figuren (Allegorien))	Q5003624			
Denkmalanlage (Reiterstandbild)	Q5003624			
Denkmalanlage <Findling; Baum>	Q5003624			
Denkmalanlage <Findling; Einfriedung>	Q5003624	Q1307347		
Denkmalanlage <Kriegerdenkmal (Kriegerdenkmal 1870/ 71); Eiche; Teich; Findling>	Q575759			
Desinfektionshaus	Q1220959			
Dienstgebäude (Militärintendantur)	Q1220959			
Dienstwohngebäude	Q1220959	Q11755880		
Dienstwohngebäude (Beamtenwohnhaus)	Q1220959	Q11755880		
Dienstwohngebäude (Offizierswohnungen)	Q1220959	Q11755880		
Dienstwohnhaus (Schwesternhaus)	Q1220959	Q11755880		
Dienstwohnhaus/ Amtshaus (im 19. Jh. zwischenzeitlich genutzt als Amtsgericht)	Q1220959	Q11755880		
Doppelhaus	Q6453233			
Doppelhaus (Sommerhaus)	Q6453233			
Doppelhaushälfte	Q6453233			
Doppelwohnhaus	Q6453233			
Doppelwohnhaus; Einfriedung	Q6453233	Q1307347		
Dorfkern				
Dreehus	Q47162123			
Dreehus (Einzelwohnhaus vor Anbau von Nr. 22 und 24)	Q47162123			
Druckausgleichsbehälter (Turmform)/ Schornstein				
Druckereigebäude	Q47162123			
Einfahrtspfosten (vermutl.)				
Einfamilienhaus	Q1307276			
Einfamilienhaus (Bahnwärterwohnhaus)	Q1307276			
Einfamilienhaus (Doppelhaus)	Q6453233			
Einfamilienhaus (Doppelhaushälfte)	Q6453233			
Einfamilienhaus (Kernbau Bleicherhaus)	Q1307276			
Einfamilienhaus (mit Garage (Anbau)); Einfriedung	Q1307276	Q1307347		
Einfamilienhaus (mit Garage)	Q1307276			
Einfamilienhaus (nur Äußeres/ Fassaden)	Q1307276			
Einfamilienhaus (Reihenhaus gehobener Standard)	Q875016			
Einfamilienhaus (Reihenhaus, Typ Teppich-Siedlung)	Q875016			
Einfamilienhaus (Reihenvilla)	Q3950			
Einfamilienhaus (Villa) {Mehrfamilienhaus (nach Umnutzung)}	Q3950			
Einfamilienhaus (vororttypischer gehobener Zuschnitt)	Q1307276			
Einfamilienhaus {Altenheim (nach Umbau)}; Vorgarten	Q1307276			
Einfamilienhaus {Mehrfamilienhaus (nach Umbau)}	Q1307276			
Einfamilienhaus/ Villa	Q3950			
Einfamilienhaus/Reihenhaus	Q1307276			
Einfamilienhaus; Einfriedung	Q1307276	Q1307347		
Einfamilienhaus; Einfriedung; Pavillon	Q1307276	Q1307347	Q276173	
Einfamilienhaus; Einfriedung; Tor	Q1307276	Q1307347		
Einfamilienhaus; Einfriedung; Vorgarten	Q1307276	Q1307347		
Einfamilienhaus; Einfriedung; Vorgarten; u.a.	Q1307276	Q1307347		
Einfamilienhaus; Garage	Q1307276			
Einfamilienhaus; Garage; Garten; Einfriedung	Q1307276	Q1307347		
Einfamilienhaus; Garten	Q1307276			
Einfamilienhaus; Mehrfamilienhaus	Q1307276			
Einfamilienhaus; u.a.	Q1307276			
Einfamilienhaus; Vorgarten	Q1307276			
Einfamilienhaus; Werftanlage <Werkstattgebäude; Slipananlage>	Q1307276			
Einfamilienhaus; Wohnnebengebäude; Einfriedung	Q1307276	Q1307347		
Einfamilienreihenhaus	Q875016			
Einfamilienreihenhaus mit Vorgarten und Einfriedung	Q875016	Q1307347		
Einfamilienwohnhaus	Q1307276			
Einfamilienwohnhaus, Einfriedung	Q1307276	Q1307347		
Einfriedung	Q1307347			
Einfriedung (gusseiserne Einzäunung mit Torpfeilern)	Q1307347			
Einfriedung (Gußeisernes Gitter)	Q1307347			
Einfriedung/ Tor	Q1307347			
Einfriedung/Freisitz/Garage	Q1307347			
Einfriedung; Etagenhaus	Q1307347			
Einfriedung; Garage; Garten; Schwimmbecken; Villa; Vorgarten	Q1307347	Q3950		
Einfriedung; Schule	Q1307347			
Einfriedung; Schulgebäude	Q1307347			
Einfriedung; Siedlungsbau; Vorgarten	Q1307347			
