ID	Adresse	Geogr. Br.	Geogr. Lg.
12500	Sandtorkai o.Nr.		
13146	Steinwerder Kai o.Nr.		
14789	Nordbake Neuwerk	53.928889	8.481945
18203	Kirschtenstraße o.Nr. vor dem Gebäude Oesterleystraße 27		
23210	Schleidenbrücke o.Nr.		
24448	Schleidenbrücke o.Nr.		
27078	Bergstedter Ortskern		
27461	Dove-Elbe		
29307	Reiherkai o.Nr.		
29309	Kronprinzkai o.Nr.		
29311	Stettiner Ufer o.Nr.		
30003	Alsterarkaden / Jungfernstieg / Neuer Wall		
30344	Bielfeldtstraße / Grünebergstraße / Othmarscher Kirchenweg
  
  Einfriedung, Hecken, Treppen?	53.551499	9.911194
30414	Siedlung Leverkusenstieg / Leverkusenstraße / Schützenstraße / Stresemannstraße		
30416	Siedlung Bessemerweg / Leverkusenstieg / Leverkusenstraße / Stresemannstraße		
30433	Wesselhoeftpark/ Landhaus Wesselhoeft		
30712	Goernestraße / Gustav-Leo-Straße		
30714	Siedlung Eppendorfer Landstraße / Gustav-Leo-Straße		
31021	Kriegerdenkmal 1870/ 71 und für die Erhebung Schleswig-Holsteins an der Ecke Lohe/Tangstedter Weg		
43333	Im Ulenbusch o.Nr. in der Lottbek		
43334	Im Ulenbusch o.Nr. in der Lottbek		
43335	Im Ulenbusch o.Nr. unter der Lottbek		
43361	Außenalster		
