ID	Adresse	Geogr. Br.	Geogr. Lg.
18245	Lastropsweg o.Nr.	53.578328	9.955238
18398	Schanzenstraße o.Nr.	53.563659	9.965434
18401	Högenstraße o.Nr.	53.581786	9.9389
18401	Högenstraße o.Nr. südlich von Nr. 60	53.581786	9.9389
18406	Högenstraße o.Nr.	53.581191	9.938769
18432	Högenstraße o.Nr.	53.581255	9.938758
18432	Högenstraße o.Nr. auf der Straßenmitte vor Nr. 54b	53.581255	9.938758
18433	Högenstraße o.Nr.	53.58111	9.938776
18434	Högenstraße o.Nr.	53.580822	9.938749
18434	Högenstraße o.Nr. westlich von Nr. 50	53.580822	9.938749
18435	Högenstraße o.Nr.	53.580813	9.938763
18435	Högenstraße o.Nr. westlich von Nr. 50	53.580813	9.938763
18440	Högenstraße o.Nr.	53.581554	9.938664
18658		53.569434	9.992223
18780	Oberstraße o.Nr. vor der ehem. Synagoge Oberstraße (heute Sendesaal des NDR)	53.577602	9.991174
19391	Kollaustraße o.Nr.	53.615884	9.950002
19404	Elbgaustraße o.Nr.	53.607746	9.881226
19526	Grindelhof 89	53.571802	9.983389
19542	Strecke der U-Bahnlinie U1	53.58444	9.986163
19543	Isestraße o.Nr.	53.580659	9.980794
19590	Strecke der U-Bahnlinie U3	53.584272	9.985754
19641	Oberstraße o.Nr. gegenüber von Nr. 56	53.577455	9.983528
19652	Streekbrücke o.Nr.	53.58369	9.995404
19679	Innocentiastraße o.Nr.	53.578185	9.982902
19877	Hagenbeckstraße o.Nr.	53.596843	9.938121
19950	Elsastraße o.Nr. nördl. von Nr. 46	53.579666	10.034747
20056	Oberstraße 16a	53.57589	9.979863
20065	Oberstraße 14a	53.576698	9.979055
20065	Oberstraße 14b	53.576698	9.979055
20065	Oberstraße 14c	53.576698	9.979055
20077	Oberstraße 18a	53.576698	9.980671
20077	Oberstraße 18b	53.576698	9.980671
20077	Oberstraße 18c	53.576698	9.980671
20077	Oberstraße 18d	53.576698	9.980671
20127	Maxstraße o.Nr.	53.572747	10.047114
20245	Heider Straße 1a	53.582211	9.973957
20319	Brabandstraße o.Nr.	53.611675	10.001038
20942	Grasweg 6a	53.592986	10.002181
20943	Grasweg 6a	53.593122	10.002156
21082	Alsterdorfer Straße o.Nr.	53.602605	9.997485
21083	Alsterdorfer Straße o.Nr.	53.602404	9.997324
21224	Hellbrookstraßenbrücke o.Nr.	53.590925	10.033916
21404	Sengelmannstraße o.Nr.	53.609876	10.024396
21441	Barmbeker Straße o.Nr.	53.590648	10.010393
21802	Hudtwalckerstraße o.Nr.	53.59309	9.99369
21867	Körnerstraßenbrücke o.Nr.	53.579375	10.012236
21912	Maria-Louisen-Straße o.Nr.	53.590524	10.006043
21976	Saarlandstraße o.Nr. östlich der Straße	53.594307	10.032795
21999	Sierichstraße o.Nr.	53.590362	10.000221
22237	Richardstraßenbrücke o.Nr.	53.569747	10.03774
22289	Alfredstraßenbrücke o.Nr.	53.558663	10.031694
22318	Wohldorfer Straße o.Nr.	53.577057	10.03998
22321	Marschnerstraße o.Nr.	53.575549	10.038653
22322	Wagnerstraße o.Nr.	53.574064	10.03705
22323	Volksdorfer Straße o.Nr.	53.57643	10.0397
22556	Fuhlsbüttler Straße o.Nr.	53.603338	10.03781
22586	Wohldorfer Straße o.Nr. westlich von Nr. 30	53.576875	10.041975
22587	Wohldorfer Straße o.Nr. westlich von Nr. 30	53.576846	10.042383
22904	Straßburger Platz o.Nr.	53.581301	10.061623
22905	Straßburger Platz 6a	53.581381	10.061448
22941	Adlerstraße o.Nr.	53.587756	10.05998
23197	Hellbrookstraße o.Nr.	53.589634	10.039384
23197	Hufnerstraße o.Nr.	53.589634	10.039384
23212	Krausestraße o.Nr.	53.58354	10.054549
23212	Krausestraßenbrücke o.Nr.	53.58354	10.054549
23244	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 57	53.578967	10.095782
23250	Kirchhofstraße o.Nr.	53.578176	10.068629
23253	Kedenburgstraße o.Nr. (neben Nr. 012)	53.579401	10.086783
23254	Ahrensburger Straße o.Nr. an der Ecke Eichtalstraße	53.577618	10.08902
23293	Hellbrookstraße o.Nr.	53.591235	10.037086
23308	Hamburger Straße o.Nr.	53.574481	10.037311
23348	St. Jürgenstraße 5	53.631205	10.1249
23348	St. Jürgenstraße 7	53.631205	10.1249
23349	St. Jürgenstraße 11	53.631624	10.124815
23349	St. Jürgenstraße 9	53.631624	10.124815
23350	St. Jürgenstraße 13	53.632032	10.124723
23350	St. Jürgenstraße 15	53.632032	10.124723
23351	St. Jürgenstraße 17	53.632445	10.124659
23351	St. Jürgenstraße 19	53.632445	10.124659
23352	St. Jürgenstraße 2	53.630028	10.12576
23352	St. Jürgenstraße 4	53.630028	10.12576
23353	St. Jürgenstraße 6	53.63033	10.125695
23353	St. Jürgenstraße 8	53.63033	10.125695
23354	St. Jürgenstraße 10	53.630824	10.125582
23354	St. Jürgenstraße 12	53.630824	10.125582
23355	St. Jürgenstraße 14	53.631074	10.125514
23355	St. Jürgenstraße 16	53.631074	10.125514
23356	St. Jürgenstraße 18	53.631468	10.12543
23356	St. Jürgenstraße 20	53.631468	10.12543
23357	St. Jürgenstraße 22	53.631822	10.125361
23357	St. Jürgenstraße 24	53.631822	10.125361
23488	Hellbrookstraße o.Nr.	53.589735	10.036723
23962	Wellingsbütteler Landstraße 230u	53.635448	10.054024
24244	Hufnerstraße o.Nr. Ecke Wiesendamm	53.586855	10.041576
24346		53.49433	9.9256
24550	Schloßstraße o.Nr.	53.572084	10.068782
24552	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 57	53.578969	10.095803
24554	Ahrensburger Straße o.Nr. auf der Höhe von Nr. 39	53.578426	10.09405
24625	St. Jürgenstraße 1	53.630733	10.124996
24625	St. Jürgenstraße 3	53.630733	10.124996
24983	St. Jürgenstraße 26	53.632142	10.125303
24983	St. Jürgenstraße 28	53.632142	10.125303
24984	St. Jürgenstraße 30	53.632487	10.12521
24984	St. Jürgenstraße 32	53.632487	10.12521
24985	St. Jürgenstraße 34	53.632785	10.125171
24985	St. Jürgenstraße 36	53.632785	10.125171
24986	St. Jürgenstraße 38	53.63326	10.125065
25179	Bergedorfer Straße o.Nr.	53.486607	10.207246
26371	Kaistraße o.Nr.	53.545033	9.932228
26507	Rahlstedter Straße o.Nr. bei Nr. 110	53.59989	10.156369
26510	Oldenfelder Straße o.Nr.	53.612776	10.156739
26787	Bremer Straße o.Nr.	53.440344	9.955884
26800	Friedhofstraße o.Nr.	53.448196	9.955872
27138	Diekkamp 43	53.642094	10.152076
27232	Wentorfer Straße 27	53.487601	10.219854
27441	Saseler Straße 7a	53.622456	10.164096
27441	Saseler Straße 7b	53.622456	10.164096
27441	Saseler Straße 7c	53.622456	10.164096
27442	Meiendorfer Straße o.Nr.	53.638041	10.19295
27445	Ringstraße o.Nr. am Waldrand nördlich von Nr. 217	53.637711	10.175283
27449	Rahlstedter Straße o.Nr. neben Nr. 110	53.59989	10.156369
27467	1. Hafenstraße 14	53.472767	9.972873
27525	Bremer Straße 15a	53.457678	9.98074
27535	Bremer Straße o.Nr. vor Nr. 9, Ecke Maretstr.	53.458133	9.981411
27747		53.491565	10.221791
27831	Schwarzenbergstraße o.Nr.	53.46589	9.96872
27834	Schwarzenbergstraße o.Nr.	53.466342	9.969979
27836	Schwarzenbergstraße o.Nr.	53.465069	9.972651
27837	Schwarzenbergstraße o.Nr.	53.464066	9.974091
27840	Schwarzenbergstraße o.Nr.	53.465265	9.968368
27843		53.463532	9.979849
27874	Bremer Straße o.Nr.	53.455722	9.980188
27874	Brunsstraße o.Nr.	53.455722	9.980188
27874	Harmsstraße o.Nr.	53.455722	9.980188
27875	Bremer Straße o.Nr.	53.456007	9.979972
27876	Bremer Straße o.Nr.	53.4555	9.980498
27906	Schwarzenbergstraße o.Nr.	53.465251	9.971381
27907	Schwarzenbergstraße o.Nr.	53.463535	9.97618
27971	Lamprechtstraße 6	53.489398	10.219821
28131	Borgfelder Straße o.Nr.	53.553422	10.02631
28141	Baererstraße 14a	53.453754	9.985239
28591	Parkstraße 61a	53.550876	9.875814
28594	Eulenkrugstraße o.Nr.	53.647912	10.16656
28674	Fuhlsbüttler Straße o.Nr.	53.587144	10.046308
28675	Fuhlsbüttler Straße o.Nr.	53.58725	10.044827
