Item	Bezeichnung	ist ein	lat	lon	Straße
Q16970	Hl. Dreieinigkeits-Kirche	Kirchengebäude	53.55638889	10.00777778	
Q16970	Dreifaltigkeitskirche	Kirchengebäude	53.55581667	10.05684444	
Q1244442	Horner Warteschule	Schulgebäude	53.55219	10.08154	Bauerberg 38
Q1228895	Café Keese (Hamburg)	Diskothek	53.55014	9.96639	
Q928830	U-Bahnhof Kellinghusenstraße	U-Bahnhof	53.588889	9.991111	
Q928830	U-Bahnhof Gänsemarkt	U-Bahnhof	53.55555556	9.98694444	
Q187456	Hamburg-Amerika-Bar	Bar	53.54916	9.96362	
Q1021645	Campus Tower	Bürogebäude	53.54032	10.00759	Versmannstraße 6-10
Q1244442	Kirchenschule Altengamme	Schulgebäude	53.42958	10.27088	Kirchenstegel 20
Q1244442	Schule Neuwiedenthaler Straße	Schulgebäude	53.47616	9.86489	Neuwiedenthaler Straße 4
Q1793804	Bahnhof Königstraße	S-Bahnstation	53.548333	9.945556	Königstraße 20
Q1244442	Westerschule Finkenwerder	Schulgebäude	53.5285	9.86318	Finkenwerder Landscheideweg 180
Q16970	Immanuelkirche (Hamburg-Veddel)	Kirchengebäude	53.5255	10.0176	
Q751876	Harburger Schloss	Schloss	53.46972222	9.98527778	
Q1244442	Schule Lohkampstraße	Schulgebäude	53.61253	9.88777	
Q1783234	Wattyhaus	Kontorhaus	53.55	9.99866667	
Q152081	Lager Dessauer Ufer	Konzentrationslager	53.523651	10.008609	
Q41176	Willy-Brandt-Straße 47 (Hamburg)	Gebäude	53.547196	9.996292	
Q322563	Hellgrundweg 45	Berufsschule	53.58889	9.89117	Hellgrundweg 45
Q1868572	Bahnbetriebswerk Hamburg-Tiefstack	Lokomotivbahnhof	53.529348	10.072519	
Q1793804	Bahnhof Wellingsbüttel	S-Bahnstation	53.641111	10.0825	Rolfinckstraße 5
Q39715	Leuchtturm Estemündung	Leuchtturm	53.53579444	9.79151389	
Q1244442	Ochsenwerder Elbdeich 251	Schulgebäude	53.44684	10.10835	Ochsenwerder Elbdeich 251
Q1244442	Schule Redderbarg	Schulgebäude	53.6811	10.10338	Redderbarg 46-48
Q1244442	Schule Humboldtstraße	Schulgebäude	53.5735	10.02728	Humboldtstraße 30
Q16884952	Villa Rücker	Landhaus	53.553656	10.065986	
Q152081	KZ Hamburg-Steinwerder (Stülckenwerft)	Konzentrationslager	53.5416	9.9576	
Q1244442	Schule Hartsprung	Schulgebäude	53.60452	9.95791	Hartsprung 23
Q1244442	Rudolf-Steiner-Schule Nienstedten	Schulgebäude	53.5492	9.85639	Elbchaussee 366
Q1195942	Feuerwache Wilhelmsburg	Feuerwehrhaus	53.50582	9.98839	
Q16970	St. Pankratius	Kirchengebäude	53.47583333	10.085	
Q227691	Werk- und Zuchthaus	Zuchthaus	53.552305	9.996748	
Q91122	Fink II	Bunker	53.54138889	9.85444444	
Q131183	Alma Hoppe	Cabaret	53.59305556	9.99266667	
Q1793804	S-Bahnhof Stadthausbrücke	S-Bahnstation	53.549167	9.986389	Stadthausbrücke 8
Q389959	Tiefbunker Berlinertordamm	Luftschutzbunker	53.553333333333335	10.026388888888889	
Q1244442	Schule Billbrookdeich	Schulgebäude	53.53265	10.10847	Billbrookdeich 266
Q1021645	Euler-Hermes-Hochhaus	Bürogebäude	53.559555555555555	9.914669444444444	
Q1244442	Schule Wesperloh	Schulgebäude	53.57559	9.86145	Wesperloh 19
Q3950	Villa de Freitas	Villa	53.546021	9.883379	
Q1244442	Grundschule Stübenhofer Weg	Schulgebäude	53.48319	10.01504	Stübenhofer Weg 20
Q928830	U-Bahnhof Osterstraße	U-Bahnhof	53.57625	9.95166667	
Q1244442	Schule Woellmerstraße	Schulgebäude	53.46542	9.95957	Woellmerstraße 1
Q1244442	Schule Neuhof	Schulgebäude	53.51378	9.96834	Neuhöfer Damm 95
Q928830	U-Bahnhof Lohmühlenstraße	U-Bahnhof	53.556944	10.02	
Q543654	Rathaus Harburg	Rathaus	53.45944444	9.97972222	
Q1244442	Schule am Park Mitte Altona	Schulgebäude	53.55981	9.93635	An der Kleiderkasse
Q8719053	Danny’s Pan	Veranstaltungsort für Musikdarbietungen	53.55083333	10.02583333	
Q1244442	Bundesstraße 41	Schulgebäude	53.56636	9.97813	Bundesstraße 41
Q861951	Hafenpolizeiwache No 2	Polizeidienststelle	53.543107184096584	9.98308518371338	
Q1244442	Schule Barlsheide	Schulgebäude	53.58334	9.85698	Bornheide 2
Q1244442	Schule Strenge	Schulgebäude	53.63669	10.07904	Strenge 5
Q11315	Elbe-Einkaufszentrum	Einkaufszentrum	53.57055556	9.86222222	Osdorfer Landstraße 131 – 135, 22609 Hamburg
Q389959	Hochbunker Binderstraße	Luftschutzbunker	53.56784	9.98475	Binderstraße 32
Q1244442	Schule Ehestorfer Weg	Schulgebäude	53.45583	9.95111	Ehestorfer Weg 14
Q55485	Bahnhof Hamburg Klosterthor	Kopfbahnhof	53.549722	10.006667	
Q928830	U-Bahnhof Langenhorn Markt	U-Bahnhof	53.6489	10.0172	
Q1497364	Cuxhavener Straße 566	Gebäudekomplex	53.46812	9.80993	Cuxhavener Straße 566
Q17350442	Mehr!-Theater am Großmarkt	Örtlichkeit	53.543	10.017	
Q126807	Kirchwerder Landweg 2	Kindergarten	53.46247	10.19824	Kirchwerder Landweg 2
Q2742167	Kollegiatstift Hamburg-Süllberg	religiöse Gemeinschaft	53.56783	10.0365	
Q19860854	Emil Naucke's Varieté	abgegangenes Bauwerk	53.54918	9.96396	Spielbudenplatz 23-24, Hamburg
Q1244442	Schule Moorkamp	Schulgebäude	53.56977	9.96637	Moorkamp 3
Q19844914	Neubau am Geomatikum	Universitätsgebäude	53.56823	9.97321	
Q12518	Fernmeldeturm Hamburg-Lohbrügge	Turm	53.499581	10.190611	
Q41176	Ehemaliges Dienstgebäude der Hamburger Landherrenschaften	Gebäude	53.548333333333	10.000833333333	
Q1329623	Bürgerhaus Koralle	Kulturzentrum	53.651574	10.163257	Kattjahren 1, 22359 Hamburg
Q1498804	Stadtlagerhaus	Mehrfamilienwohnhaus	53.5443537	9.950172	
Q159334	Schule auf der Veddel	weiterführende Schule	53.52683	10.01952	Slomanstieg 1 – 3, 20539 Hamburg
Q41253	Lichtmess	Kino	53.55622	9.93297	Gaußstraße 25, 22765 Hamburg
Q16970	Christophorus-Kirche	Kirchengebäude	53.64416667	10.05205556	Poppenbüttler Stieg 25, 22339 Hamburg
Q928830	U-Bahnhof Mundsburg	U-Bahnhof	53.57111111	10.0275	
Q1244442	Christophorus-Schule	Schulgebäude	53.67579	10.1355	Bergstedter Chaussee 205
Q3950	Mittelweg 113	Villa	53.57419	9.99431	Mittelweg 113
Q190928	Blohm + Voss-Werft	Werft	53.539	9.962	
Q1244442	Schule am Altonaer Volkspark	Schulgebäude	53.59076	9.88383	Vorhornweg 2
Q1244442	Volkshochschule Leuschnerstraße	Schulgebäude	53.49749	10.20756	Leuschnerstraße 21
Q1244442	Große Freiheit 63	Schulgebäude	53.55203	9.95748	Große Freiheit 63
