Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Stallgebäude (Kälber- und Hammelstall)	1
Parkausstattung (Wasserkaskaden)	1
Wohngebäude (Vorderhaus, Wohnterrasse),Wohnhaus (Wohnpassage)	1
Plastik (Apothekerzeichen)	1
Etagenhaus (mit Kontor und Lager)	1
Schulgebäude (Doppelschule)	1
Lehrgebäude/ Institutsgebäude (Fachschule)	1
Etagenhaus (mit Laden im Keller, Vorderhaus); Speicher/ Werkstattgebäude (Hofbebauung)	1
Institutsgebäude (Impfanstalt)	1
Museumsgebäude/ Schulgebäude	1
Klinikgebäude/Institutsgebäude	1
Parkhaus/ Bürohaus	1
Doppelhaushälfte	1
Kontorhaus (mit Lager, Produktions- und Werkstätten)	1
Denkmalanlage (Obelisk, Sockel, gusseiserne Einfriedung)	1
Schulanlage <Schulgebäude; Einfriedung; Hoffläche>	1
Kontorhaus {Bankgebäude (nach Umbau)}	1
Gebäudeteile	1
Bibliothek (Öffentliche Bücherhalle) {Gaststätte (nach Umnutzung)}	1
Wohnhaus {Bankgebäude (nach Umnutzung)}	1
Wohnhäuser (ehem. zwei Gebäude) {Hotel (nach Umnutzung)}	1
Etagenhaus {Geschäftshaus (nach Umbau)}	1
Plastik (Andachtsgruppe, Kreuzwegstation)	1
Etagenhaus (Hinterhaus); Pflaster (in der Durchfahrt)	1
Denkmalanlage (Reiterstandbild)	1
Grabsteine/ Erinnerungsmale	1
Schleusenanlage; Kanalabschnitt	1
Etagenhaus; Gebäude (Hofbebauung)	1
Gaswerk <Gasmessanlage; Gelbkali-Fabrik; Gasförderanlage>	1
Fabrikgebäude (Fabrikhallen)	1
Schulgebäude (Lyzeum)	1
Speicher/ Betriebsgebäude (Bäckerei, Hofbebauung)	1
Waisenhaus {Pfarrhaus/ Kindertagesstätte (nach Umnutzung)}	1
Markthalle (Großmarkthalle); u.a.	1
Gaststätte (Kaffeeklappe für Hafenarbeiter)	1
Etagenhaus (mit gewerblich genutztem Gebäudeteil)	1
Gewerbebau/ Wohnhaus	1
Bürohochhaus (mit Andachtsräumen)	1
Bronzetafel	1
Stadtvilla	1
Gemeindezentrum <Kindergarten; u.a.>	1
Gemeindezentrum <Pfarrhaus; u.a.>	1
Fabrikanlage (Fabrikgebäude)	1
Stadion	1
Kirchengebäude; Pastorat; Gemeindehaus	1
Fabrikanlage (Papierfabrik)	1
Schulanlage <Schulgebäude; Einfriedungen>	1
Kirchengebäude; Nebengebäude (Anbauten); Kirchturm	1
Gemeindehaus mit Kindergarten	1
Wohnhaus (mit Stall, Anbau)	1
Schulgebäude (Mädchenmittelschule)	1
Stützmauern (mit Geländer und Laternen)	1
Straßenabschnitt/ Promenade (Allee); Platzanlage	1
Fabrikanlage (Ölfabrik); Wasserturm	1
Wohnhaus (mit Kutscherwohung)	1
Büro- und Wohngebäude	1
Druckausgleichsbehälter (Turmform)/ Schornstein	1
Straßenbrücke (Autobahn)	1
Betriebsgebäude (Nebengebäude)	1
Entleerungspumpwerk	1
Schöpfpumpwerksgebäude	1
Betriebsgebäude <Laborgebäude, Verwaltungsgebäude, Beamtenwohnhaus>	1
Kasernenanlage (Polizeikaserne) <Wagenschuppen; Stall>	1
Kasernenanlage (Polizeikaserne)	1
Rollkräne	1
Zollrampe	1
Höft; u.a.	1
Brücken	1
Kasernenanlage (Polizeikaserne) <Turnhalle; Schmiede>	1
Zollzaun	1
Verwaltungsgebäude (Zoll)	1
Luftschutzbau (Ringtreppenturm)	1
Werftanlage <Verwaltungsgebäude; Maschinenbauhalle; Lotsenhaus; Feuerwache; Trockendock; u.a.>	1
Lotsenhaus/ Feuerwache	1
Werfthalle	1
Vereinshaus/ Gaststätte (Kaffeeklappe)	1
Wohnhaus (mit Bäckerei und Laden)	1
Kornspeicher	1
Wohngebäude (mit Bäckerei, vermutl., Deichbebauung)	1
Wohnhaus {Gastwirtschaft}	1
Verwaltungsgebäude {Wohngebäude (nach Umnutzung)}	1
Wohnwirtschaftsgebäude; Wurt	1
Veranstaltungshalle	1
Gaststätte/ Wohnhaus	1
Stall (vermutl.) {Wohnhaus (nach Umnutzung)}	1
Lehrgebäude/ Institutsgebäude (Maschinenhaus/ Maschinenbaulaboratorium)	1
Gewächshaus (Erdgewächshaus)	1
Schleusenwärterhaus	1
Pavillon/ Teehaus	1
Gewerbebau (Hinterhaus)	1
Kanal; Uferbefestigung/ Treppen	1
Transformatorenhaus	1
Sportplatz (Polizeikaserne)	1
Kasernenanlage (Polizeikaserne) <Kasernengebäude, Pulvermagazin>	1
Etagenhaus (Vorderhaus, Wohnterrasse); Vorgärten; Pflaster	1
Kaianlagen <Kräne; u.a.>	1
Filterwerk (Sandfiltration)	1
Straßenfläche (Pflaster)	1
Kirchengebäude mit zwei Pastoraten	1
Treppenanlage; Denkmal; Gitter	1
Hafen; Kanal	1
Verwaltungsgebäude/ Pumpenhaus	1
Vereinshaus (mit Versammlungs-, Sozialarbeits- und Wohnräumen)	1
Denkmal (Bronzestandbild, Granitsockel)	1
Fabrikgebäude; Wohnhaus	1
Oberleitungsmasten (Straßenbahn)	1
Baracke (Büronutzung)	1
Fassade (Kontorhausfassade)	1
Werkstattgebäude/Lager (Hinterhaus)	1
Wohngebäude (Vorderhaus); Werkstatt (Hofgebäude)	1
Etagenhaus (mit Gastronomie, Eckgebäude)	1
Wohnhaus (Doppelhaus, Typ Bude)	1
Wohnhaus (Typ Bude)	1
Wohnhaus (Vorderhaus)	1
Etagenhaus (Vorderhaus); Mietfabrik (Hinterhaus)	1
Krankenhausanlage (Krankenhausgebäude; Einfriedungen; Treppen; Kandelaber; Außenanlagen (z.T.))	1
Friedhof <Grabmäler; Kriegerdenkmal; Gedenkstein; Einfriedung; u.a.>	1
Friedhof; Einfriedung	1
Etagenhaus (Vorderhaus); Wohngebäude (Hinterhaus)	1
Krankenhausgebäude (Behandlungs- und Bettenhaus)	1
Schulgebäude {Wohngebäude (nach Umnutzung)}	1
Schulgebäude (Knaben-Mittelschule)	1
Pförtnerhaus/ Gärtnerhaus	1
Getreidespeicher (Silo); Verladebrücke (stationäre Anlage zur Wasserseite)	1
Mälzerei	1
Brunnenskulptur	1
Kriegerdenkmal (Kriegerdenkmal 1914/ 18) (Denkmalanlage aus verklinkerter Stele mit Erinnerungstafeln und umfassenden Mäuerchen)	1
Schulgebäude (Dorfschule) {Geschäftshaus (nach Umnutzung)}	1
Pferdestall {Feuerwache (seit 1922)}	1
Maschinenhaus/ Kesselhaus (Wasserwerk (Pumpwerk))	1
Etagenhaus (mit Laden und Gaststätte)	1
Reihenhaus; Einfriedung	1
Villa (Reihenvilla); Einfriedung; Tor	1
Bootshaus/Wohnhaus	1
Wohngebäude/ Verwaltungsgebäude	1
Etagenhaus; Hofbebauung (gewerblich)	1
Bahnbetriebsgebäude (Lagerhaus)	1
Verwaltungsgebäude/ Mehrfamilienhaus; Skulpturen (zwei Skulpturen, ehem. Schmuck der Außentreppe)	1
Schulgebäude; Turnhalle; Einfriedungen; gärtnerisch gestalteter Vorplatz (östlich des	1
Kasernengebäude (Reithalle/Exerzierhaus)	1
Versorgungseinrichtung (Armenküche)	1
Wohnheim/Stift	1
Park (Grünanlagen des Krankenhauses); Einfriedung	1
Etagenhaus (Hofbebauung); Hofflächen	1
Mehrfamilienhaus (Mietshaus)	1
Straßenabschnitt/ Promenade (Allee)	1
Denkmalanlage (Mauer mit Tafel und niedriger Zaun)	1
Etagenhaus; Hofbebauung (drei Gebäude)	1
Verwaltungsgebäude/ Mehrfamilienhaus	1
Gartenhaus/Wohnhaus; Einfriedung	1
Denkmal/ Brunnen	1
Lagergebäude/ Werkstattgebäude (Möbelfabrikation, Hinterhaus)	1
Fabrikgebäude/ Lagerhaus {nach Umnutzung}	1
Wohnhaus/ Geschäftshaus/ Gaststätte	1
Etagenhaus (Wohn- und Geschäftshaus, mit Lagerräumen und Kontor im EG, Hofdurchfahrt)	1
Bürogebäude (Fabrik)	1
Wohnhaus (mit Tierarztpraxis)	1
Etagenhaus (mit Gastronomie)	1
Wohnstift (Stiftsgebäude; Pavillons (zur Straße); Einfriedungen; Außenanlagen)	1
Kiosk/Toilettenhaus	1
Schule (Real- bzw. Oberrealschule)	1
Krankenhausgebäude; Einfriedungen; Außenanlagen (z.T.)	1
Geschäftsgebäude/ Lagergebäude	1
Schulgebäude/Lehrgebäude; Platzanlage <Einfriedung>; Freitreppe	1
Etagenhaus (Vorderhaus); Werkstatt (Hofbebauung)	1
Kleinwohnhaus (Kate); Bäume	1
Wohngebäude (Reihenhäuser)	1
Kaserne <Mannschaftsunterkünfte; Offiziersheim; Offizierskasino; Stabsgebäude; Wirtschaftsgebäude; Kraftfahrzeughallen/ Geschützhallen (mit Flakturm); Technikhalle/ Heizwerk; Torhaus; Einfriedungen; u.a. >	1
Rathaus (nach Erweiterung und Umbau des 1844 errichteten und 1866 umgebauten Vorgängerbaus (Bahnhof Altona))	1
Wohnhaus (Stadthaus, Doppelhaus)	1
Reihenhaus (Reihenmietshaus, Wohnterrasse); Etagenhaus (nach gestaltprägendem Umbau 1889/90)	1
Konfirmandensaal	1
Wohnhaus (Stadthaus) {Etagenhaus (nach Umbau)}	1
Etagenhaus/ Eilguthalle (Halle im Erdgeschoss)	1
Speichergebäude	1
Wohn- und Geschäftshaus (z.T. Privatklinik)	1
Grabsteine/ Erinnerungsmale (mit Einfriedung)	1
Wasserwerk (Grundwasserwerk) <Betriebsgebäude; Betriebstechnik; Reinwasserbehälter; Filterbecken; Treppenanlage; Stützmauer (mit Inschrift); u.a.>	1
Siedlungsbau (Wohnanlage gehobenen Standards); Vorgarten; Einfriedung	1
Kriegerdenkmal (Regimentsehrenmal)	1
Schulgebäude (Hauptschule) {Wohngebäude (nach Umnutzung)}	1
Wohnhochhaus; Außenanlagen	1
Schulgebäude (Kirchenschule)/ Küsterwohnhaus	1
Brunnen (Becken/Brunnenfigur)	1
Wohnhaus; Pflaster (in der Durchfahrt)	1
