ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
16506	In de Bost o.Nr. nördlich von 10b	53.554751	9.831389	22587
16514	Georg-Bonne-Straße 82	53.552929	9.849851	22609
16528	Nienstedtener Marktplatz o.Nr.	53.552453	9.844318	22609
16578	Bei der Friedenseiche o.Nr.|Max-Brauer-Allee o.Nr.	53.554054	9.940349	22765
16652	Reventlow-Stift	53.558728	9.957874	22767
16692	Op´n Kamp 28	53.558605	9.805534	22587
16693	Op´n Kamp 2|Op´n Kamp 4	53.558037	9.806859	22587
16700	Strandweg  o.Nr., unterhalb von Baurs Park	53.555231	9.813687	22587
16809	Hospitalstraße o.Nr.	53.554726	9.947705	22767
16818	Elbberg o.Nr.	53.5452	9.931893	22767
16844	Königstraße o.Nr. in der Grünanlage westlich des Rathauses	53.547689	9.943265	22767
16908	Am Eichenplatz o.Nr.|Osdorfer Landstraße o.Nr.	53.573088	9.844173	22549
16941	Elbchaussee o.Nr. westlich von Nr. 408	53.551401	9.842708	22609
16965	Rissener Ufer o.Nr.	53.563982	9.751523	22559
16976	Baron-Voght-Straße o.Nr.|Jürgensallee o.Nr.|Quellental o.Nr.	53.555056	9.861544	22609
16978	Baron-Voght-Straße o.Nr.	53.55108	9.868854	22605
16979	Elbchaussee o.Nr.	53.556966	9.826365	22587
17002	Georg-Bonne-Straße 87	53.552935	9.845698	22609
17056	Schulberg o.Nr.	53.545246	9.905798	22605
17071	Övelgönne 5	53.544954	9.913609	22605
17079	Övelgönne 1	53.544721	9.914324	22605
17085	Övelgönne 6	53.544695	9.913327	22605
17090	Netzestraße o.Nr.	53.605715	9.866992	22547
17097	Ueckerstraße o.Nr.	53.60512	9.879651	22547
17098	Ueckerstraße o.Nr.	53.602422	9.87982	22547
17114	Bellmannstraße o.Nr. Ecke Flottbeker Straße	53.560289	9.880267	22607
17139	Eidelstedter Weg o.Nr. in der Straße westlich von Nr. 107	53.582092	9.943301	20255
17178	Övelgönne o.Nr. südlich Nr. 10	53.544278	9.912435	22605
17206	Övelgönne 17	53.544882	9.911069	22605
17207	Övelgönne 16	53.54483	9.911258	22605
17208	Övelgönne 14	53.544958	9.911623	22605
17209	Övelgönne 10	53.544973	9.912404	22605
17210	Övelgönne 8	53.54501	9.913147	22605
17211	Övelgönne 27|Övelgönne 28	53.544943	9.909535	22605
17315	Övelgönne 23	53.545039	9.910263	22605
17316	Övelgönne 13	53.544918	9.912036	22605
17317	Övelgönne 11	53.544981	9.912253	22605
17318	Övelgönne 9	53.544852	9.912581	22605
17323	Kleiberweg 115 am Rand der Auffahrt unmittelbar westlich dem Gebäude Nr. 115c	53.602499	9.872783	22547
17331	Böttcherkamp o.Nr. südlich von Nr. 107	53.589439	9.865703	22549
17332	Lüdersring o.Nr.	53.594562	9.888662	22547
17333	Lüttkamp o.Nr. östlich Nr. 137a, Ecke Elbgaustraße	53.598999	9.88638	22547
17334	Lüttkamp o.Nr.	53.599236	9.886383	22547
17335	Goldhähnchenstieg o.Nr.	53.6081	9.867924	22547
17336	Spreestraße o.Nr. westlich von Nr. 25, Ecke Franzosenkoppel	53.600753	9.880529	22547
17337	Fahrenort o.Nr. vor Nr. 108	53.599225	9.862302	22547
17338	Fahrenort o.Nr.	53.599763	9.870513	22547
17339	Spreestraße o.Nr.	53.600807	9.888629	22547
17340	Lüdersring o.Nr.	53.593714	9.883619	22547
17341	Bornheide o.Nr.	53.590955	9.852872	22549
17342	Luruper Hauptstraße o.Nr.|Lüttkamp o.Nr.	53.590487	9.87055	22549
17358	Övelgönne 26	53.544912	9.909719	22605
17360	Övelgönne 24	53.545018	9.910115	22605
