ID	Adresse	Geogr. Br.	Geogr. Lg.
12500	Sandtorkai o.Nr.		
13146	Steinwerder Kai o.Nr.		
14789	Nordbake Neuwerk	53.928889	8.481945
18203	Kirschtenstraße o.Nr. vor dem Gebäude Oesterleystraße 27		
18260	Voigtstraße o.Nr.	53.57584	9.942319
18384	Eimsbütteler Brücke o.Nr.	53.573273	9.963842
18396	Im Gehölz o.Nr.	53.577417	9.961389
18399	Eidelstedter Weg o.Nr.|Eidelstedter Weg o.Nr. vor Nr. 93	53.582227	9.945509
18416	Alsterufer 50|Alte Rabenstraße 1|Badestraße  o.Nr.	53.566935	10.000512
18436	Doormannsweg o.Nr. gegenüber von Nr. 43, auf einem Grünstreifen	53.56848	9.952822
18488	Roonstraße o.Nr.	53.579241	9.970071
18504	Agathenstraße o.Nr.	53.567332	9.966009
18509	Beim Schlump o.Nr.|Schäferkampsallee o.Nr.	53.56801	9.969903
18673	Edmund-Siemers-Allee o.Nr. Ecke Rothenbaumchaussee	53.562101	9.989427
18675	Rothenbaumchaussee o.Nr. auf der Höhe von Nr. 44	53.56625	9.988973
18709	Mittelweg o.Nr.	53.561376	9.992406
18712	Rothenbaumchaussee o.Nr. nördlich von Nr. 115	53.572562	9.988427
18736	Weckmannweg o.Nr.	53.576918	9.941165
18866	Bei der Apostelkirche o.Nr.	53.576258	9.943816
18876	Prätoriusweg o.Nr.	53.580155	9.952764
18878	Odenwaldstraße o.Nr.	53.57948	9.952013
19012	Lutterothstraße 75|Stellinger Weg 57	53.58134	9.945562
19031	Rendsburger Straße  o.Nr.	53.551667	9.964287
19059	Stellinger Weg 53|Stellinger Weg 55	53.581119	9.946034
19061	Luruper Weg o.Nr.	53.580455	9.943816
19071	Hartwig-Hesse-Straße o.Nr.	53.581149	9.942728
19134	Platz der jüdischen Deportierten o.Nr.	53.563397	9.986715
19140	Fontenay o.Nr. Ecke Alsterufer, in der Anlage hinter dem Kriegerdenkmal	53.564822	9.998518
19141	Fontenay-Allee o.Nr.	53.564032	9.996304
19195	Alsterglacis o.Nr.	53.559224	9.991935
19294	Von-Melle-Park o.Nr. östlich von 8	53.567248	9.985478
19386	Niendorfer Marktplatz o.Nr. neben der Kirche	53.616867	9.94879
19387	Niendorfer Marktplatz o.Nr.	53.617221	9.949293
19393	Holsteiner Chaussee  o.Nr., nördlich von 387	53.64592	9.907943
19396	Schneitelbaum	53.637048	9.911348
19401	Kriegerdankweg o.Nr.|Wählingsallee o.Nr.	53.631211	9.914976
19402	Kriegerdankweg o.Nr.|Wählingsallee o.Nr.	53.631207	9.914976
19403	Holsteiner Chaussee  o.Nr., auf der Höhe von Nr. 49	53.613626	9.905967
19406	Niendorfer Gehege o.Nr. neben Kleingartenverein 303 Waldfrieden	53.612922	9.929469
19407	Eidelstedter Platz o.Nr. auf dem Busbahnhof	53.608454	9.904576
19416	Beim Amsinckpark 18|Beim Amsinckpark o.Nr.	53.601617	9.943056
19419	Doormannsweg o.Nr. bei Nr. 12	53.571395	9.956744
19468	Hoheluftchaussee 167 auf Höhe von	53.585845	9.968396
19550	Rothenbaumchaussee o.Nr.	53.579879	9.989212
19580	Klosterstern o.Nr.	53.581717	9.988598
19581	Isebekkanal	53.58444	9.986163
19584	Isebekkanal	53.584272	9.985754
19585	Isebrücke o.Nr.	53.584841	9.988287
19588	Klosteralleebrücke o.Nr.	53.580927	9.979764
19589	Krugkoppel o.Nr.	53.579046	9.996949
19654	Eppendorfer Brücke o.Nr.	53.583644	9.984133
19697	Christuskirche Eidelstedt	53.614914	9.890424
19726	Eidelstedter Dorfstraße o.Nr. auf dem Friedhof	53.608436	9.911363
19727	Eidelstedter Dorfstraße o.Nr. auf dem Friedhof	53.608413	9.91138
19729	Sportplatzring o.Nr. hinter Nr. 47	53.592551	9.929899
19739	Försterweg o.Nr.	53.578213	9.929743
19799	Gneisenaustraße o.Nr.	53.577882	9.969078
19850	Eidelstedter Weg o.Nr.|Eidelstedter Weg o.Nr. gegenüber von Nr. 13	53.581257	9.956127
19879	Tierpark Hagenbeck	53.596123	9.937751
19883	Tierpark Hagenbeck	53.595738	9.937705
