ID	Adresse	Geogr. Br.	Geogr. Lg.
12568	Dammtordamm o.Nr. bei Nr. 1	53.559176	9.990296
12608	Rademachergang o.Nr. vor Nr. 10	53.552279	9.981897
12623	Holstenwall o.Nr. nördlich von Nr. 3|Sievekingplatz o.Nr. östlich von Nr. 1	53.555388	9.978204
12666	Gänsemarkt o.Nr. an der Ostseite des Platzes	53.555051	9.988849
12686	Großneumarkt o.Nr. vor Nr. 37/ 38	53.550211	9.979918
12710	Sievekingplatz o.Nr.	53.556281	9.978083
12711	Holstenwall o.Nr. südlich von Nr. 24	53.55052	9.973358
12741	Am Elbtunnel o.Nr. o. Nr.|Bei den St. Pauli-Landungsbrücken o.Nr. o. Nr.	53.54386	9.966554
12746	Bei den St. Pauli-Landungsbrücken o.Nr.|Davidstraße o.Nr.|St. Pauli Hafenstraße o.Nr.	53.546514	9.965739
12787	Kersten-Miles-Brücke o.Nr.	53.547449	9.97115
12837	Lombardsbrücke o.Nr.	53.557022	9.997301
12841	Neuer Wall o.Nr. gegenüber von Nr. 86	53.550094	9.987097
12854	Pulverturmsbrücke o.Nr.	53.547871	9.983406
12895	Reeperbahn o.Nr. nördöstlich von Spielbudenplatz 1	53.549839	9.967428
12936	Dammtordamm o.Nr.	53.55829	9.992251
12937	Dammtordamm o.Nr.	53.558697	9.991452
12938	Neuer Jungfernstieg o.Nr. auf der Terrasse an der Westecke des Binnenalsterbeckens	53.556966	9.993779
13018	Australiastraße o.Nr.	53.526584	9.999624
13024	Lippeltstraße o.Nr.|Schleusenkanal	53.544919	10.015153
13058	St. Georgstraße 10	53.556453	10.006618
13064	St. Georgstraße 21	53.556223	10.006449
13095	Horner Landstraße o.Nr.	53.552157	10.075237
13097	Johannisbollwerk o.Nr. gegenüber Nr. 19 auf dem Hochwasserweg	53.545104	9.973256
13098	Sievekingplatz o.Nr. vor dem Oberlandesgericht	53.556524	9.977607
13099	Stenvort o.Nr.	53.568816	9.945699
13100	Holstenwall o.Nr. südlich des Haupteingangs von Nr. 24 (Museum für Hamburgische Geschichte)	53.550542	9.973815
13101	Holstenwall o.Nr. südlich des Haupteingangs von Nr. 24 (Museum für Hamburgische Geschichte)	53.550475	9.973768
13102	Gänsemarkt o.Nr. nördlich von Nr. 21	53.554937	9.988766
13134	Insel Neuwerk o.Nr.	53.914874	8.495975
13135	Leuchtturm Neuwerk	53.915249	8.495851
13146	Steinwerder Kai o.Nr.		
13150	Ellerholzschleusenbrücke	53.525987	9.973125
13151	Ellerholzschleuse	53.525997	9.97332
13153	Reiherdamm o.Nr.	53.532932	9.969272
13155	Hachmannkai o.Nr.	53.523727	9.952909
13161	Auguste-Victoria-Kai o.Nr.	53.533306	9.957627
13212	Glashüttenstraße 88	53.559207	9.973391
13217	Grabenstraße o.Nr. an der Westseite der Straße|Laeiszstraße o.Nr. an der Westseite der Straße|Vorwerkstraße o.Nr. an der Nordseite der Straße	53.559599	9.970449
13255	Karolinenstraße 2a HAUS 1|Karolinenstraße 2a HAUS 2	53.557243	9.974701
13256	Karolinenstraße 2a HAUS 4	53.557259	9.974207
13257	Karolinenstraße 2a HAUS 5	53.557291	9.97384
13260	Karolinenstraße 5a HAUS 1|Karolinenstraße 5a HAUS 2|Karolinenstraße 5a HAUS 3|Karolinenstraße 5a HAUS 4|Karolinenstraße 5a HAUS 5|Karolinenstraße 5a HAUS 6|Karolinenstraße 5a HAUS 7|Karolinenstraße 5a HAUS 8	53.557519	9.974248
13269	Karolinenstraße 24	53.559335	9.974311
13285	Schule Laeiszstraße (ehem.)	53.55909	9.969812
13309	Marktstraße 13	53.55813	9.973363
13337	Neuer Pferdemarkt o.Nr. vor Nr. 33	53.557285	9.964502
13435	Kirchenstraße o.Nr. südlich von Nr. 40	53.54843	9.950527
13436	Carsten-Rehder-Straße o.Nr.|De-Voß-Straße o.Nr.	53.545473	9.949603
13473	Grabenstraße  o.Nr., westlich der Straße|Vorwerkstraße  o.Nr., nördlich der Straße	53.559977	9.971018
13504	Beim Grünen Jäger o.Nr. vor der Garageneinfahrt von Nr. 13	53.557749	9.963093
13505	Beim Grünen Jäger o.Nr. südlich von Nr. 16	53.557951	9.96314
13558	Beim Grünen Jäger o.Nr. vor Nr. 16	53.558046	9.963161
13559	Beim Grünen Jäger o.Nr. östlich von Nr. 21	53.558587	9.963503
13560	Beim Grünen Jäger o.Nr. östlich von Nr. 26	53.559056	9.963833
13561	Schanzenstraße o.Nr. östlich von Nr. 1	53.559498	9.964162
13562	Schanzenstraße o.Nr. südlich von Nr. 3	53.559645	9.964266
13563	Schanzenstraße o.Nr. südöstlich von Nr. 3/ 5	53.559793	9.964365
13564	Schulterblatt o.Nr. westlich von Nr. 70	53.561794	9.962266
13565	Schulterblatt o.Nr. westlich von Nr. 84/ 86	53.562358	9.961735
13566	Schulterblatt o.Nr. westlich von Nr. 88	53.562528	9.961551
13567	Schulterblatt o.Nr. westlich von Nr. 88/ 92	53.562602	9.961471
13568	Schulterblatt o.Nr. westlich von Nr. 98	53.562888	9.961102
13569	St.Petersburger Straße o.Nr.	53.560949	9.980057
13666	Hansaplatz o.Nr.	53.554681	10.012045
13772	Müggenburger Kanal|Müggenburger Zollhafen|Peute-Kanal	53.522623	10.027169
13773	Reginenortbrücke o.Nr.	53.521505	10.028042
13776	Hovestraße o.Nr.|Moorkanalbrücke o.Nr.|Peutestraße o.Nr.	53.518654	10.043282
13792	Hovestraße o.Nr.|Moorkanalbrücke o.Nr.|Peutestraße o.Nr.	53.518549	10.043189
13798	Sievekingsallee o.Nr.	53.557861	10.06065
13799	Südkanal	53.547003	10.032923
13800	Anckelmannsplatz o.Nr.	53.552074	10.028109
13804	Zweite Ausschläger Brücke o.Nr.	53.548282	10.037744
13807	Sachsenkamp o.Nr. hinter Nr. 5	53.546495	10.02144
13810	Horner Weg o.Nr. gegenüber von Nr. 3-9	53.55587	10.056745
13811	Horner Weg o.Nr. gegenüber von Nr. 11-19	53.555803	10.057195
13830	Alsterarkaden o.Nr.	53.551794	9.991985
13834	Steendiek o.Nr.	53.533471	9.877902
13837	Ellerntorsbrücke o.Nr.	53.550013	9.98492
13854	Englische Planke o.Nr.	53.548486	9.978395
13896	Koppel 17d	53.558191	10.008388
13903	Koppel 17k|Koppel 17l|Koppel 17m	53.557609	10.008537
13917	St. Georgs Kirchhof o.Nr. in der Vorhalle der Heiligen-Dreieinigkeits-Kirche	53.556356	10.007945
13965	Platz der Republik o.Nr. vor dem Rathaus	53.547473	9.935394
13971	Behnstraße o.Nr. im Schleepark|Königstraße o.Nr. im Schleepark	53.547813	9.94261
13980	St. Georgstraße 1	53.555955	10.007138
13981	St. Georgstraße 3|St. Georgstraße 7	53.556019	10.007006
13982	St. Georgstraße 4	53.556191	10.007142
13989	Banksstraße o.Nr. südlich der Straße, zwischen Oberhafen und Schleusenkanal	53.544107	10.012032
14022	St. Georgstraße 5	53.55577	10.006631
14023	St. Georgstraße 5	53.555899	10.006328
14024	St. Georgstraße 5	53.55595	10.006491
14025	St. Georgstraße 5	53.555893	10.006785
14045	Brandshofer Deich o.Nr. auf dem Grundstück von Nr. 114-118	53.537335	10.028548
14047	Ausschläger Billdeich-Brücke	53.540389	10.045864
14056	Borsigbrücke o.Nr.	53.53398	10.072012
14060	Ausschläger Elbdeich o.Nr.	53.53067	10.044913
14066	Billhafen-Löschplatz o.Nr.	53.535749	10.028075
14108	Kennedybrücke o.Nr.	53.55774	9.997927
14117	Hansaplatz o.Nr.	53.5547	10.012083
14151	Ericusbrücke o.Nr.	53.544573	10.003152
14173	Bei der Hammer Kirche o.Nr. zwischen Nr. 10 und 12	53.556409	10.055152
14174	Horner Weg o.Nr. gegenüber von Nr. 11-19	53.555864	10.057968
14175	Caspar-Voght-Straße o.Nr.	53.558787	10.057696
14213	Bei der Vogelstange o.Nr.	53.558281	10.05559
14221	Adolphsbrücke o.Nr.	53.550645	9.989664
14247	Derbyweg o.Nr.	53.562595	10.089294
14249	Bei der Martinskirche o.Nr.|Pagenfelder Straße o.Nr.	53.55002	10.082618
14283	Steinbeker Berg o.Nr.	53.530367	10.127929
14284	Steinbeker Reihe o.Nr.	53.527774	10.128633
14286	Bruhnrögenredder o.Nr.	53.563932	10.142179
14315	Kirchenaußendeichsweg o.Nr.	53.527093	9.865786
14374	Breite Straße o.Nr.|Carsten-Rehder-Straße o.Nr.|Fischmarkt o.Nr.	53.54626	9.951047
14375	Max-Brauer-Allee o.Nr.	53.555761	9.943193
14392	Steinbeker Hauptstraße o.Nr.	53.527971	10.132432
14396	Kurt-Körber-Gymnasium	53.541625	10.121174
14407	Billbrookdeich 171	53.535955	10.100043
14413	Billbrookkanal	53.53396	10.079188
14419	Liethwisch o.Nr.	53.603078	9.944148
14425	Ausschläger Elbdeich o.Nr. gegenüber von Nr. 2|Billhorner Deich o.Nr. südlich von Nr. 2	53.531957	10.041869
14429	Kaltehofe-Hauptdeich o.Nr.	53.509294	10.060139
14432	Kaltehofe-Hauptdeich o.Nr. neben Nr. 7	53.525452	10.052113
14433	Kaltehofe-Hinterdeich o.Nr. gegenüber Nr. 17 und 19	53.527321	10.04997
14434	Moorfleeter Hauptdeich o.Nr. südöstlich von Nr. 81	53.507329	10.063038
14500	Australiastraße o.Nr.	53.528961	9.99804
14501	Australiastraße o.Nr.	53.529882	9.995878
14507	Lübecker Kai o.Nr.	53.524365	10.006399
14510	Lübecker Kai o.Nr.	53.524688	10.005939
14514	Hansahöft o.Nr.	53.531519	9.994361
14516	Veddelkanalbrücke o.Nr.	53.525403	9.982166
14521	Veddeler Damm o.Nr. südlich Veddeler Damm über die Müggenburger Durchfahrt	53.522321	10.013103
14523	Ellerholzhöft o.Nr.	53.531639	9.955483
14531	Wendemuthkai o.Nr.	53.541198	9.955358
14533	Lotsenhöft o.Nr.	53.540792	9.952964
